ticker,effective_date,era,era_lo,win_start,win_end,n_days_wide,car_eff,car_wide
CFG,2016-02-01,2015–2019,2015,2016-01-21,2016-02-02,9,-0.07337808000158519,-0.08267942403162987
FRT,2016-02-01,2015–2019,2015,2016-01-21,2016-02-02,9,0.011594191298413659,0.00910410179460186
EXR,2016-01-19,2015–2019,2015,2016-01-07,2016-01-20,9,0.006774499927289734,-0.0023466716309682445
CHD,2015-12-29,2015–2019,2015,2015-12-17,2015-12-30,9,-0.004752547688640196,0.011317696791330878
CSRA,2015-12-01,2015–2019,2015,2015-11-19,2015-12-02,9,0.05994432449441445,-0.06427882071925961
ILMN,2015-11-19,2015–2019,2015,2015-11-10,2015-11-20,9,-0.013439695649034356,0.11678942931593561
SYF,2015-11-18,2015–2019,2015,2015-11-09,2015-11-19,9,0.030226764314033372,-0.06174027237167068
HPE,2015-11-02,2015–2019,2015,2015-10-22,2015-11-03,9,-0.11213331393723569,-0.1763745646998217
VRSK,2015-10-07,2015–2019,2015,2015-09-28,2015-10-08,9,-0.012158090593526572,0.05783314975587173
NWS,2015-09-18,2015–2019,2015,2015-09-09,2015-09-21,9,0.006082136535146443,-0.03490204997868451
UAL,2015-09-02,2015–2019,2015,2015-08-24,2015-09-03,9,0.015060980476549024,0.05175202414370805
SIG,2015-07-29,2015–2019,2015,2015-07-20,2015-07-30,9,0.009482898478565982,0.006571445482762117
PYPL,2015-07-20,2015–2019,2015,2015-07-09,2015-07-21,9,0.022878078431758153,0.09504443284037356
AAP,2015-07-08,2015–2019,2015,2015-06-26,2015-07-09,9,0.0007061370798230326,0.011560433537141757
JBHT,2015-07-01,2015–2019,2015,2015-06-22,2015-07-02,9,-0.0204221508678728,-0.04134632143177641
QRVO,2015-06-11,2015–2019,2015,2015-06-02,2015-06-12,9,0.035397866245662324,0.04048004753016543
O,2015-04-07,2015–2019,2015,2015-03-26,2015-04-08,9,-0.03608677369523561,-0.02958913861354906
AAL,2015-03-23,2015–2019,2015,2015-03-12,2015-03-24,9,-0.02396112198822864,0.10711304090958906
EQIX,2015-03-23,2015–2019,2015,2015-03-12,2015-03-24,9,-0.020216438520336055,-0.005698996474273854
SLG,2015-03-23,2015–2019,2015,2015-03-12,2015-03-24,9,0.008446092347850875,0.0349627678551252
HSIC,2015-03-18,2015–2019,2015,2015-03-09,2015-03-19,9,0.006398513888319468,0.011038955357388747
SWKS,2015-03-12,2015–2019,2015,2015-03-03,2015-03-13,9,0.014529122523590066,0.04946071076082992
HCA,2015-01-27,2015–2019,2015,2015-01-15,2015-01-28,9,0.066543896684366,0.020944638468381127
RCL,2014-12-05,2010–2014,2010,2014-11-25,2014-12-08,9,0.024247481668676518,0.11231444481571728
URI,2014-09-20,2010–2014,2010,2014-09-11,2014-09-23,9,-0.03036878411986732,-0.009052299835722977
UHS,2014-09-20,2010–2014,2010,2014-09-11,2014-09-23,9,0.016490916219375595,0.0205772710145653
MLM,2014-07-02,2010–2014,2010,2014-06-23,2014-07-03,9,-0.05349878012569831,-0.07347966589320865
AMG,2014-07-01,2010–2014,2010,2014-06-20,2014-07-02,9,0.009176557706456645,0.01162370643528099
AVGO,2014-05-08,2010–2014,2010,2014-04-29,2014-05-09,9,-0.005071448943041568,0.0999714011348215
NAVI,2014-05-01,2010–2014,2010,2014-04-22,2014-05-02,9,0.014800101334660254,0.002836254240740965
GOOGL,2014-04-03,2010–2014,2010,2014-03-25,2014-04-04,9,-0.029995223969425444,-0.06470708755120269
ESS,2014-04-02,2010–2014,2010,2014-03-24,2014-04-03,9,-0.015276180763407199,0.003993662081159588
TSCO,2014-01-24,2010–2014,2010,2014-01-14,2014-01-27,9,-0.00270805486846859,-0.01996880113961308
MHK,2013-12-23,2010–2014,2010,2013-12-12,2013-12-24,9,0.006898369488788747,0.020905795020592866
ALLE,2013-12-02,2010–2014,2010,2013-11-20,2013-12-03,9,-0.0002961565331106586,-0.06869620339340798
RIG,2013-10-29,2010–2014,2010,2013-10-18,2013-10-30,9,-0.047246012921417835,0.02792555757151205
VRTX,2013-09-20,2010–2014,2010,2013-09-11,2013-09-23,9,-0.006528182940026439,-0.08238752851990083
AME,2013-09-20,2010–2014,2010,2013-09-11,2013-09-23,9,0.01875491263369733,0.028598930925700428
DAL,2013-09-10,2010–2014,2010,2013-08-29,2013-09-11,9,0.10460696616056397,0.13141953395555384
NWSA,2013-07-01,2010–2014,2010,2013-06-20,2013-07-02,9,-0.03292672786416917,-0.04222915815088113
ZTS,2013-06-21,2010–2014,2010,2013-06-12,2013-06-24,9,0.014466107252046556,-0.010125986055330438
GM,2013-06-06,2010–2014,2010,2013-05-28,2013-06-07,9,-0.0051835062001373,0.06809673845204323
MAC,2013-05-08,2010–2014,2010,2013-04-29,2013-05-09,9,-0.01491969832711848,-0.007940822892644528
REGN,2013-04-30,2010–2014,2010,2013-04-19,2013-05-01,9,0.09589064613494014,0.11740718937573791
PVH,2013-02-15,2010–2014,2010,2013-02-06,2013-02-19,9,-0.0018130719121136618,0.026673950175719385
GRMN,2012-12-11,2010–2014,2010,2012-11-30,2012-12-12,9,-0.011733451135172879,0.06074504134962533
DG,2012-12-03,2010–2014,2010,2012-11-21,2012-12-04,9,-0.03268212776100565,-0.006582796343332031
